Number of stations is:
209 
     nw stn lat lon:
TA Q17K  58.264  -155.887
AV CLCO  52.787  -169.723
AV _RED  60.420  -152.774
TA Q19K  58.929  -153.645
TA TCOL  64.874  -147.862
AK _RND  63.406  -148.860
AK _MCK  63.732  -148.937
TA E27K  68.186  -141.595
AT SVW2  61.108  -155.622
TA E24K  68.075  -148.487
AK PPLA  62.896  -152.189
AK SPIA  57.177  -170.248
AK NEA2  64.593  -149.069
AK RIDG  63.740  -144.846
US EGAK  64.777  -141.158
TA K27K  64.029  -142.076
TA O22K  60.481  -149.724
AK _CYK  60.082  -142.487
CN DAWY  64.066  -139.391
AK BESE  58.579  -134.856
TA L20K  62.479  -153.880
TA M30M  62.576  -136.793
AT _MID  59.428  -146.339
AK NIKH  52.972  -168.855
TA U33K  56.115  -133.121
TA G24K  66.700  -147.475
TA S34M  57.913  -131.131
TA R31K  58.413  -135.740
AV MNAT  53.883  -166.686
TA I23K  65.148  -149.360
TA D24K  69.153  -148.823
AT YKU2  59.512  -139.671
AK _TNA  65.560  -167.927
TA O19K  60.195  -154.320
TA M20K  61.882  -153.132
AK BPAW  64.100  -150.987
AV AUWS  59.358  -153.461
AK _SGA  60.534  -145.208
AV AKSA  54.109  -165.699
TA H22K  65.894  -151.377
TA I21K  65.180  -151.982
TA M19K  61.904  -154.392
TA O18K  59.854  -155.208
TA K24K  63.804  -145.778
TA HARP  62.399  -145.157
TA L19K  62.182  -154.854
TA O17K  59.773  -157.095
AK KIAG  60.923  -142.361
TA D25K  69.322  -146.375
TA M26K  62.401  -142.996
TA A21K  71.322  -156.618
II KDAK  57.783  -152.583
TA C26K  69.918  -144.912
AK _PNL  59.666  -139.404
AV RDSO  60.454  -152.743
AT _PMR  61.592  -149.131
AV SSLN  54.811  -163.998
TA G30M  66.981  -136.222
TA L27K  63.062  -141.827
AV RDJH  60.590  -152.806
TA L26K  63.025  -143.348
TA J29M  64.453  -138.216
TA G27K  66.809  -141.655
TA J26L  64.501  -143.564
TA P17K  59.195  -156.439
TA R16K  57.567  -157.574
AK _SAW  61.807  -148.332
TA N19K  60.813  -154.484
AV _NCT  60.562  -152.929
AK _SKN  61.980  -151.532
AV AKLV  54.162  -165.958
AK FALS  54.856  -163.418
AV ISLZ  54.725  -163.713
AK _SWD  60.104  -149.453
AK _BAL  61.036  -142.346
AK VRDI  61.227  -143.454
AK _DIV  61.129  -145.775
AK _MLY  65.030  -150.744
AV SSLS  54.711  -164.001
TA Q18K  58.648  -155.009
AV AKGG  54.198  -165.994
AK CAST  63.419  -152.084
AT AKUT  54.135  -165.772
TA F26K  67.695  -144.145
TA K29M  63.843  -137.520
TA Q16K  58.677  -156.656
TA M27K  62.358  -141.878
AV AUJA  59.340  -153.423
TA D23K  68.966  -150.681
AK GAMB  63.776  -171.704
TA T33K  56.814  -132.952
AK _BWN  64.173  -149.299
TA S31K  57.962  -136.232
TA P16K  59.031  -157.991
AV WACK  61.986  -144.331
TA O28M  60.772  -140.191
AK COLD  67.227  -150.204
AK _BCP  59.953  -139.637
AV WECS  54.530  -164.780
AK _CUT  62.406  -150.262
TA G23K  66.711  -150.024
TA N31M  61.486  -135.780
AK _MDM  64.960  -148.232
AK _SLK  60.512  -150.223
TA G21K  66.516  -153.506
TA Q20K  58.610  -152.394
AK _SCM  61.833  -147.330
AK _GLB  61.442  -143.812
AK _KLU  61.492  -145.923
TA M31M  62.202  -134.391
AK EYAK  60.549  -145.750
AV SSBA  54.772  -164.126
TA H24K  65.837  -147.878
AK SCRK  63.976  -143.990
TA E25K  68.121  -145.568
US WRAK  56.419  -132.347
TA O30N  60.770  -136.091
AK _HOM  59.657  -151.651
TA I27K  65.603  -141.615
AV MAPS  53.808  -166.941
AT CHGN  56.301  -158.414
TA H21K  65.657  -152.805
AK _PPD  65.517  -145.525
IU COLA  64.874  -147.862
TA O16K  59.594  -158.093
TA K20K  63.357  -154.070
AV AKRB  54.129  -166.071
AV KAKN  58.296  -155.063
TA E23K  68.058  -149.616
AK CAPN  60.768  -151.154
TA Q32M  58.960  -132.269
TA P19K  59.652  -153.232
AV MGOD  53.794  -166.878
AK FIRE  61.143  -150.216
TA F25K  67.593  -145.643
AK _HDA  64.409  -146.948
AV SPCG  61.291  -152.023
AV _AUL  59.382  -153.438
AK _GHO  61.771  -148.926
AK _PWL  60.858  -148.333
TA R17K  57.640  -156.387
TA P30M  60.122  -136.960
TA N16K  60.474  -158.769
AK GCSA  64.746  -156.879
AK _PAX  62.970  -145.470
TA C24K  69.720  -148.701
TA L29M  63.109  -138.129
TA P23K  59.998  -147.403
CN _INK  68.306  -133.525
AK _SSN  61.464  -150.747
TA P32M  59.590  -133.715
TA S12K  55.703  -162.061
AK BARN  61.059  -141.662
AV AU22  59.370  -153.357
TA N32M  61.151  -133.082
TA N25K  61.606  -144.598
AK CHUM  63.883  -152.315
TA O20K  60.081  -152.624
TA F24K  67.519  -147.887
TA Q23K  59.430  -146.340
AK _WRH  64.472  -148.092
AK _FYU  66.566  -145.234
AK _DOT  63.648  -144.070
AK _PIN  60.096  -140.252
TA G26K  66.950  -143.785
TA G22K  66.921  -151.507
AT MENT  62.938  -143.719
TA F21K  67.222  -153.483
AK _KNK  61.413  -148.458
TA C27K  69.626  -143.711
AK MCAR  61.384  -143.024
TA V35K  55.328  -131.615
AV AKMO  54.090  -166.013
TA N30M  61.459  -137.089
TA F31M  67.441  -133.742
TA G25K  66.765  -146.101
AK _CCB  64.645  -147.805
AK _CNP  59.525  -151.237
AT CRAG  55.469  -133.123
AK SAMH  60.129  -140.783
AK BRSE  59.742  -150.741
AK _UNV  53.845  -166.505
AT _SIT  57.057  -135.324
TA O29M  60.302  -138.576
AK RC01  61.089  -149.739
AT OHAK  57.222  -153.287
AV AUCH  59.363  -153.445
AK _JIS  58.276  -134.385
TA M24K  62.107  -146.175
AK _KTH  63.553  -150.923
TA M23K  61.793  -147.726
TA I26K  65.306  -143.154
TA P33M  60.211  -132.817
TA T35M  56.981  -130.250
AV RDDF  60.591  -152.688
TA N20K  61.200  -152.209
TA I29M  65.361  -138.306
TA H27K  66.231  -141.526
AK _TRF  63.450  -150.289
AV OKNC  53.456  -168.126
AV AUSB  59.333  -153.428
AK BRLK  59.751  -150.906
TA E22K  68.134  -151.813
AT _TTA  62.930  -156.012
TA M22K  61.753  -150.120
AK _ANM  64.565  -165.373
AK RDOG  68.054  -162.908
TA R32K  58.275  -134.518
TA M29M  62.444  -138.462
